gamma,s,count
2.3,1,349589
2.3,2,62568
2.3,3,21311
2.3,4,9552
2.3,5,5097
2.3,6,2781
2.3,7,1718
2.3,8,1075
2.3,9,762
2.3,10,513
2.3,11,355
2.3,12,295
2.3,13,170
2.3,14,119
2.3,15,105
2.3,16,68
2.3,17,49
2.3,18,40
2.3,19,35
2.3,20,25
2.3,21,15
2.3,22,7
2.3,23,12
2.3,24,13
2.3,25,7
2.3,26,5
2.3,27,6
2.3,28,5
2.3,29,1
2.3,30,1
2.3,31,3
2.3,32,2
2.3,34,1
2.3,35,1
2.3,38,1
2.3,44,1
2.3,47,1
2.3,48,1
2.3,60,1
2.4,1,294324
2.4,2,54162
2.4,3,18733
2.4,4,8515
2.4,5,4555
2.4,6,2577
2.4,7,1639
2.4,8,1069
2.4,9,717
2.4,10,509
2.4,11,345
2.4,12,220
2.4,13,189
2.4,14,150
2.4,15,129
2.4,16,84
2.4,17,62
2.4,18,51
2.4,19,31
2.4,20,25
2.4,21,26
2.4,22,20
2.4,23,15
2.4,24,13
2.4,25,6
2.4,26,19
2.4,27,8
2.4,28,3
2.4,29,2
2.4,30,3
2.4,31,3
2.4,32,2
2.4,33,1
2.4,34,2
2.4,35,1
2.4,37,1
2.4,39,1
2.4,41,2
2.4,46,1
2.4,49,1
2.5,1,254734
2.5,2,47531
2.5,3,16745
2.5,4,7765
2.5,5,4099
2.5,6,2353
2.5,7,1410
2.5,8,978
2.5,9,651
2.5,10,450
2.5,11,339
2.5,12,233
2.5,13,147
2.5,14,124
2.5,15,82
2.5,16,60
2.5,17,53
2.5,18,49
2.5,19,33
2.5,20,29
2.5,21,20
2.5,22,16
2.5,23,11
2.5,24,11
2.5,25,3
2.5,26,7
2.5,27,5
2.5,28,7
2.5,29,2
2.5,30,7
2.5,31,2
2.5,32,3
2.5,33,2
2.5,34,4
2.5,35,1
2.5,36,2
2.5,37,4
2.5,40,1
2.5,43,1
2.5,56,1
2.5,72,1
2.6,1,224764
2.6,2,42206
2.6,3,14593
2.6,4,6689
2.6,5,3483
2.6,6,2135
2.6,7,1273
2.6,8,868
2.6,9,582
2.6,10,379
2.6,11,288
2.6,12,215
2.6,13,130
2.6,14,121
2.6,15,80
2.6,16,62
2.6,17,41
2.6,18,39
2.6,19,22
2.6,20,25
2.6,21,26
2.6,22,20
2.6,23,11
2.6,24,14
2.6,25,7
2.6,26,8
2.6,27,9
2.6,28,4
2.6,29,9
2.6,30,3
2.6,31,3
2.6,32,2
2.6,33,1
2.6,34,2
2.6,37,1
2.6,39,2
2.6,45,1
2.6,47,1
2.6,50,1
2.7,1,202089
2.7,2,37261
2.7,3,13057
2.7,4,5857
2.7,5,3169
2.7,6,1792
2.7,7,1102
2.7,8,703
2.7,9,500
2.7,10,374
2.7,11,263
2.7,12,185
2.7,13,137
2.7,14,100
2.7,15,55
2.7,16,59
2.7,17,41
2.7,18,39
2.7,19,24
2.7,20,22
2.7,21,13
2.7,22,13
2.7,23,11
2.7,24,11
2.7,25,10
2.7,26,6
2.7,27,8
2.7,28,7
2.7,29,2
2.7,30,5
2.7,31,1
2.7,32,2
2.7,33,1
2.7,34,2
2.7,39,1
2.7,44,1
2.7,45,1
2.8,1,181230
2.8,2,32908
2.8,3,11328
2.8,4,5078
2.8,5,2646
2.8,6,1560
2.8,7,962
2.8,8,599
2.8,9,416
2.8,10,277
2.8,11,214
2.8,12,123
2.8,13,122
2.8,14,72
2.8,15,68
2.8,16,42
2.8,17,37
2.8,18,21
2.8,19,18
2.8,20,12
2.8,21,15
2.8,22,7
2.8,23,5
2.8,24,8
2.8,25,5
2.8,26,3
2.8,27,1
2.8,28,1
2.8,29,4
2.8,30,1
2.8,31,2
2.8,32,2
2.8,33,1
2.8,35,1
2.8,39,1
2.8,49,1
2.9,1,164079
2.9,2,29715
2.9,3,10017
2.9,4,4463
2.9,5,2238
2.9,6,1288
2.9,7,809
2.9,8,507
2.9,9,331
2.9,10,229
2.9,11,173
2.9,12,116
2.9,13,82
2.9,14,56
2.9,15,38
2.9,16,33
2.9,17,24
2.9,18,16
2.9,19,13
2.9,20,6
2.9,21,13
2.9,22,6
2.9,23,4
2.9,24,4
2.9,25,2
2.9,26,2
2.9,27,3
2.9,28,2
2.9,29,2
2.9,30,1
2.9,31,1
