"","alpha","mean","err","c"
"1",0.001,0.01104,0.0037029717795306,"er"
"2",0.01,0.0165,0.00959462568864795,"er"
"3",0.03,0.02113,0.0119875856837945,"er"
"4",0.05,0.03515,0.0209582919151347,"er"
"5",0.08,0.07529,0.0453706362262967,"er"
"6",0.1,0.13689,0.0918176791828584,"er"
"7",0.15,0.27751,0.0972808733297017,"er"
"8",0.2,0.42638,0.121071912514836,"er"
"9",0.25,0.54827,0.167473011494233,"er"
"10",0.3,0.6961,0.074569317804944,"er"
"11",0.35,0.67998,0.14023240709622,"er"
"12",0.4,0.76281,0.113210590447509,"er"
"13",0.45,0.78938,0.0533124217775696,"er"
"14",0.5,0.79655,0.0746764776605691,"er"
"15",0.55,0.79134,0.140636778898506,"er"
"16",0.6,0.83578,0.0784039177324034,"er"
"17",0.65,0.86725,0.0404473341779809,"er"
"18",0.7,0.88142,0.0407052511807041,"er"
"19",0.75,0.88872,0.0474572561142628,"er"
"20",0.8,0.85238,0.199264192785146,"er"
"21",0.85,0.90587,0.0227005471763406,"er"
"22",0.9,0.87328,0.121324834095996,"er"
