"","alpha","mean","err"
"1",0.1,0.13689,0.0918176791828584
"2",0.15,0.27751,0.0972808733297017
"3",0.2,0.42638,0.121071912514836
"4",0.25,0.54827,0.167473011494233
"5",0.3,0.6961,0.074569317804944
"6",0.35,0.67998,0.14023240709622
"7",0.4,0.76281,0.113210590447509
"8",0.45,0.78938,0.0533124217775696
"9",0.5,0.79655,0.0746764776605691
"10",0.55,0.79134,0.140636778898506
"11",0.6,0.83578,0.0784039177324034
"12",0.65,0.86725,0.0404473341779809
"13",0.7,0.88142,0.0407052511807041
"14",0.75,0.88872,0.0474572561142628
"15",0.8,0.85238,0.199264192785146
"16",0.85,0.90587,0.0227005471763406
"17",0.9,0.87328,0.121324834095996
